quarter,category,revenue_musd,volume_m_cases,yoy_growth_pct,gross_margin_pct
2024-Q3,Carbonated Soft Drinks,1180.0,124.2,1.0,38.0
2024-Q4,Carbonated Soft Drinks,1183.0,124.5,1.0,38.0
2025-Q1,Carbonated Soft Drinks,1185.9,124.8,1.0,38.0
2025-Q2,Carbonated Soft Drinks,1188.9,125.1,1.0,38.0
2025-Q3,Carbonated Soft Drinks,1191.8,125.5,1.0,38.0
2025-Q4,Carbonated Soft Drinks,1194.8,125.8,1.0,38.0
2026-Q1,Carbonated Soft Drinks,1197.8,126.1,1.0,38.0
2026-Q2,Carbonated Soft Drinks,1200.8,126.4,1.0,38.0
2024-Q3,Juice & Nectars,310.0,28.2,-3.0,31.0
2024-Q4,Juice & Nectars,307.7,28.0,-3.0,31.0
2025-Q1,Juice & Nectars,305.4,27.8,-3.0,31.0
2025-Q2,Juice & Nectars,303.1,27.6,-3.0,31.0
2025-Q3,Juice & Nectars,300.8,27.3,-3.0,31.0
2025-Q4,Juice & Nectars,298.5,27.1,-3.0,31.0
2026-Q1,Juice & Nectars,296.3,26.9,-3.0,31.0
2026-Q2,Juice & Nectars,294.1,26.7,-3.0,31.0
2024-Q3,Bottled Water,455.0,91.0,4.1,22.0
2024-Q4,Bottled Water,459.6,91.9,4.1,22.0
2025-Q1,Bottled Water,464.1,92.8,4.1,22.0
2025-Q2,Bottled Water,468.8,93.8,4.1,22.0
2025-Q3,Bottled Water,473.5,94.7,4.1,22.0
2025-Q4,Bottled Water,478.2,95.6,4.1,22.0
2026-Q1,Bottled Water,483.0,96.6,4.1,22.0
2026-Q2,Bottled Water,487.8,97.6,4.1,22.0
2024-Q3,Sports Drinks,265.0,22.1,6.1,41.0
2024-Q4,Sports Drinks,269.0,22.4,6.1,41.0
2025-Q1,Sports Drinks,273.0,22.8,6.1,41.0
2025-Q2,Sports Drinks,277.1,23.1,6.1,41.0
2025-Q3,Sports Drinks,281.3,23.4,6.1,41.0
2025-Q4,Sports Drinks,285.5,23.8,6.1,41.0
2026-Q1,Sports Drinks,289.8,24.1,6.1,41.0
2026-Q2,Sports Drinks,294.1,24.5,6.1,41.0
2024-Q3,Tea & Coffee RTD,190.0,14.6,3.0,35.0
2024-Q4,Tea & Coffee RTD,191.4,14.7,3.0,35.0
2025-Q1,Tea & Coffee RTD,192.9,14.8,3.0,35.0
2025-Q2,Tea & Coffee RTD,194.3,14.9,3.0,35.0
2025-Q3,Tea & Coffee RTD,195.8,15.1,3.0,35.0
2025-Q4,Tea & Coffee RTD,197.2,15.2,3.0,35.0
2026-Q1,Tea & Coffee RTD,198.7,15.3,3.0,35.0
2026-Q2,Tea & Coffee RTD,200.2,15.4,3.0,35.0
2024-Q3,Functional (Volt Focus pilot),22.0,1.2,39.9,52.0
2024-Q4,Functional (Volt Focus pilot),23.9,1.3,39.9,52.0
2025-Q1,Functional (Volt Focus pilot),26.0,1.4,39.9,52.0
2025-Q2,Functional (Volt Focus pilot),28.3,1.6,39.9,52.0
2025-Q3,Functional (Volt Focus pilot),30.8,1.7,39.9,52.0
2025-Q4,Functional (Volt Focus pilot),33.5,1.9,39.9,52.0
2026-Q1,Functional (Volt Focus pilot),36.4,2.0,39.9,52.0
2026-Q2,Functional (Volt Focus pilot),39.6,2.2,39.9,52.0
